Variável;Correlação
facilidad para realizar el mantenimiento (csat);0.9999999999999999
costo de mantenimiento (csat);0.9999999999999999
facilidad de operación (csat);0.9999999999999999
capacidad operativa (hectáreas por hora) (csat);0.9999999999999999
conforto e ergonomia (ao operar o equipamento não sinto dores por postura e não preciso fazer muito esforço) (csat);0.9999999999999999
consumo de combustível (litros por tonelada) (csat);0.9999999999999999
disponibilidade mecânica e confiabilidade (csat);0.9999999999999999
compactação do solo (csat);0.9999999999999999
adaptabilidad a las más diversas condiciones de trabajo (csat);0.9999999999999999
generación y transmisión de datos para la gestión de flotas (csat);0.9999999999999999
